location_id,location_name,moreReview,review_rating,review_rating_category,review_date,review_content,gpt_output,gpt_total_tokens,gpt_output_sentiment,gpt_output_service,gpt_output_emotions
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Coey"", ""rating"": ""1 star"", ""review_date"": ""4 weeks ago"", ""review"": ""the staff is insanely rude, the man with glasses.\nHe had no idea about how to read the order and doubt the customers.\nAfter realizing he is wrong, he walked away without apologizing.\n\nHe definitely owe me an apology and I think the presence of such type of person will only ruin the reputation of the starbucks in HKU.\n\nUpdate:\nthese days I purchased the bakery products from starbucks app, i waited for more than ten mins still the staffs in HKU didn't start making them. Another day they even mess up with the orders, not knowing which refers to which, making me wait for a very long time for nothing.""}",1,<= 3 stars,<= a year,"the staff is insanely rude, the man with glasses.
He had no idea about how to read the order and doubt the customers.
After realizing he is wrong, he walked away without apologizing.

He definitely owe me an apology and I think the presence of such type of person will only ruin the reputation of the starbucks in HKU.

Update:
these days I purchased the bakery products from starbucks app, i waited for more than ten mins still the staffs in HKU didn't start making them. Another day they even mess up with the orders, not knowing which refers to which, making me wait for a very long time for nothing.","{'Sentiment': 'Negative', 'Emotions': ['Rude', 'Doubtful', 'Frustrated'], 'Customer Service': 'Negative'}",337,Negative,Negative,"['Rude', 'Doubtful', 'Frustrated']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Momo Yung"", ""rating"": ""1 star"", ""review_date"": ""a year ago"", ""review"": ""I am in a rush to get my car out of carpark but I felt quite hungry...so I quickly get into the Starbucks which was quite empty at the time and there was only 1 customer in front of me. Unfortunately the guy seems changing his order and 3 staff keep spent ages in serving/fixing his order... totally ignore another poor customer (me) waiting ages at the back. What a disappointing services. And I finally left without order anything.""}",1,<= 3 stars,> a year,I am in a rush to get my car out of carpark but I felt quite hungry...so I quickly get into the Starbucks which was quite empty at the time and there was only 1 customer in front of me. Unfortunately the guy seems changing his order and 3 staff keep spent ages in serving/fixing his order... totally ignore another poor customer (me) waiting ages at the back. What a disappointing services. And I finally left without order anything.,"{'Sentiment': 'Negative', 'Emotions': ['Hungry', 'Disappointed', 'Ignored'], 'Customer Service': 'Negative'}",297,Negative,Negative,"['Hungry', 'Disappointed', 'Ignored']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""TSZ LOK Cheng"", ""rating"": ""1 star"", ""review_date"": ""7 months ago"", ""review"": ""They don't accept cash to order coffee nor top up your Starbucks account. Disappointing :(""}",1,<= 3 stars,<= a year,They don't accept cash to order coffee nor top up your Starbucks account. Disappointing :(,"{'Sentiment': 'Negative', 'Emotions': ['Disappointing', 'Frustrated', 'Unhappy'], 'Customer Service': 'NA'}",227,Negative,NA,"['Disappointing', 'Frustrated', 'Unhappy']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Jasper"", ""rating"": ""5 stars"", ""review_date"": ""a year ago"", ""review"": ""30% discount for HKU students \ud83d\ude04 \u2026""}",5,> 3 stars,> a year,30% discount for HKU students 😄 …,"{'Sentiment': 'Positive', 'Emotions': ['Happy', 'Excited', 'Pleased'], 'Customer Service': 'NA'}",213,Positive,NA,"['Happy', 'Excited', 'Pleased']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Patrick Bai"", ""rating"": ""5 stars"", ""review_date"": ""a year ago"", ""review"": ""With the student discount, drinks are outrageously inexpensive. No surprise there is always a long queue of HKU students here""}",5,> 3 stars,> a year,"With the student discount, drinks are outrageously inexpensive. No surprise there is always a long queue of HKU students here","{'Sentiment': 'Positive', 'Emotions': ['Thrilled', 'Pleased', 'Impressed'], 'Customer Service': 'NA'}",228,Positive,NA,"['Thrilled', 'Pleased', 'Impressed']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Jeshurun Ratnasamy"", ""rating"": ""4 stars"", ""review_date"": ""8 months ago"", ""review"": ""it\u2019s a starbucks.  not much to say apart from the fact that it\u2019s really convenient if you study at HKU""}",4,> 3 stars,<= a year,it’s a starbucks.  not much to say apart from the fact that it’s really convenient if you study at HKU,"{'Sentiment': 'Neutral', 'Emotions': ['Convenient', 'Routine', 'Unremarkable'], 'Customer Service': 'NA'}",230,Neutral,NA,"['Convenient', 'Routine', 'Unremarkable']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Tim Leung"", ""rating"": ""4 stars"", ""review_date"": ""4 years ago"", ""review"": ""Reasonable price for HKU personnel. Only a small number of seats available in the store.""}",4,> 3 stars,> a year,Reasonable price for HKU personnel. Only a small number of seats available in the store.,"{'Sentiment': 'Neutral', 'Emotions': ['Reasonable', 'Small', 'Available'], 'Customer Service': 'NA'}",220,Neutral,NA,"['Reasonable', 'Small', 'Available']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Terence Wan"", ""rating"": ""4 stars"", ""review_date"": ""a year ago"", ""review"": ""Cold Brew less ice""}",4,> 3 stars,> a year,Cold Brew less ice,"{'Sentiment': 'Neutral', 'Emotions': ['Cold', 'Less', 'Icy'], 'Customer Service': 'NA'}",206,Neutral,NA,"['Cold', 'Less', 'Icy']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""Paul Fong"", ""rating"": ""1 star"", ""review_date"": ""2 years ago"", ""review"": ""Staff not so professional n caring\u3002\u3002\u3002\u3002""}",1,<= 3 stars,> a year,Staff not so professional n caring。。。。,"{'Sentiment': 'Negative', 'Emotions': ['Unprofessional', 'Uncaring', 'Disappointing'], 'Customer Service': 'NA'}",213,Negative,NA,"['Unprofessional', 'Uncaring', 'Disappointing']"
id_33, 香港大學綜合大樓地下2號舖,"{""author_name"": ""msblue737"", ""rating"": ""5 stars"", ""review_date"": ""a year ago"", ""review"": ""Good place to get a coffee in tai kok tsui.""}",5,> 3 stars,> a year,Good place to get a coffee in tai kok tsui.,"{'Sentiment': 'Positive', 'Emotions': ['Good', 'Enjoyable', 'Satisfying'], 'Customer Service': 'NA'}",215,Positive,NA,"['Good', 'Enjoyable', 'Satisfying']"
